STATISTIC,Statistic Label,TLIST(A1),CensusYear,C02199V02655,Sex,Column1,Single Year of Age,UNIT,VALUE,AgeNum,Band
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,200,Under 1 year,Number,99,0,0-3
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,001,1 year,Number,109,1,0-3
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,002,2 years,Number,151,2,0-3
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,003,3 years,Number,172,3,0-3
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,004,4 years,Number,159,4,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,005,5 years,Number,178,5,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,006,6 years,Number,196,6,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,007,7 years,Number,189,7,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,008,8 years,Number,211,8,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,009,9 years,Number,203,9,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,010,10 years,Number,249,10,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,011,11 years,Number,248,11,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,012,12 years,Number,208,12,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,013,13 years,Number,251,13,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,014,14 years,Number,184,14,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,015,15 years,Number,197,15,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,016,16 years,Number,193,16,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,017,17 years,Number,172,17,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,018,18 years,Number,166,18,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,019,19 years,Number,160,19,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,020,20 years,Number,185,20,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,021,21 years,Number,175,21,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,022,22 years,Number,168,22,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,023,23 years,Number,156,23,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,024,24 years,Number,171,24,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,025,25 years,Number,177,25,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,026,26 years,Number,150,26,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,027,27 years,Number,152,27,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,028,28 years,Number,182,28,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,029,29 years,Number,166,29,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,030,30 years,Number,152,30,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,031,31 years,Number,170,31,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,032,32 years,Number,165,32,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,033,33 years,Number,192,33,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,034,34 years,Number,210,34,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,035,35 years,Number,228,35,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,036,36 years,Number,232,36,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,037,37 years,Number,255,37,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,038,38 years,Number,260,38,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,039,39 years,Number,305,39,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,040,40 years,Number,299,40,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,041,41 years,Number,356,41,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,042,42 years,Number,358,42,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,043,43 years,Number,427,43,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,044,44 years,Number,410,44,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,045,45 years,Number,403,45,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,046,46 years,Number,425,46,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,047,47 years,Number,464,47,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,048,48 years,Number,544,48,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,049,49 years,Number,538,49,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,050,50 years,Number,550,50,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,051,51 years,Number,597,51,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,052,52 years,Number,661,52,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,053,53 years,Number,691,53,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,054,54 years,Number,715,54,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,055,55 years,Number,711,55,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,056,56 years,Number,779,56,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,057,57 years,Number,846,57,4-64
F4006C12,"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent",2022,2022,1,Male,058,58 years,Number,909,58,4-64
